,Unnamed: 0,Store,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval
0,1,1,c,a,1270,9,2008,0,,,
1,2,2,a,a,570,11,2007,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
2,3,3,a,a,14130,12,2006,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
3,4,4,c,c,620,9,2009,0,,,
4,5,5,a,a,29910,4,2015,0,,,
5,6,6,a,a,310,12,2013,0,,,
6,7,7,a,c,24000,4,2013,0,,,
7,8,8,a,a,7520,10,2014,0,,,
8,9,9,a,c,2030,8,2000,0,,,
9,10,10,a,a,3160,9,2009,0,,,
10,11,11,a,c,960,11,2011,1,1.0,2012.0,"Jan,Apr,Jul,Oct"
11,12,12,a,c,1070,7,2009,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
12,13,13,d,a,310,6,2007,1,45.0,2009.0,"Feb,May,Aug,Nov"
13,14,14,a,a,1300,3,2014,1,40.0,2011.0,"Jan,Apr,Jul,Oct"
14,15,15,d,c,4110,3,2010,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
15,16,16,a,c,3270,7,2008,0,,,
16,17,17,a,a,50,12,2005,1,26.0,2010.0,"Jan,Apr,Jul,Oct"
17,18,18,d,c,13840,6,2010,1,14.0,2012.0,"Jan,Apr,Jul,Oct"
18,19,19,a,c,3240,7,2009,1,22.0,2011.0,"Mar,Jun,Sept,Dec"
19,20,20,d,a,2340,5,2009,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
20,21,21,c,c,550,10,1999,1,45.0,2009.0,"Jan,Apr,Jul,Oct"
21,22,22,a,a,1040,7,2008,1,22.0,2012.0,"Jan,Apr,Jul,Oct"
22,23,23,d,a,4060,8,2005,0,,,
23,24,24,a,c,4590,3,2000,1,40.0,2011.0,"Jan,Apr,Jul,Oct"
24,25,25,c,a,430,4,2003,0,,,
25,26,26,d,a,2300,7,2008,0,,,
26,27,27,a,a,60,1,2005,1,5.0,2011.0,"Jan,Apr,Jul,Oct"
27,28,28,a,a,1200,10,2014,1,6.0,2015.0,"Mar,Jun,Sept,Dec"
28,29,29,d,c,2170,7,2008,0,,,
29,30,30,a,a,40,2,2014,1,10.0,2014.0,"Mar,Jun,Sept,Dec"
30,31,31,d,c,9800,7,2012,0,,,
31,32,32,a,a,2910,6,2007,1,45.0,2009.0,"Feb,May,Aug,Nov"
32,33,33,a,c,1320,5,2013,0,,,
33,34,34,c,a,2240,9,2009,0,,,
34,35,35,d,c,7660,10,2000,1,1.0,2012.0,"Jan,Apr,Jul,Oct"
35,36,36,a,c,540,6,2003,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
36,37,37,c,a,4230,12,2014,0,,,
37,38,38,d,a,1090,4,2007,0,,,
38,39,39,a,a,260,10,2006,1,31.0,2013.0,"Feb,May,Aug,Nov"
39,40,40,a,a,180,6,2007,1,45.0,2009.0,"Feb,May,Aug,Nov"
40,41,41,d,c,1180,8,2008,1,31.0,2013.0,"Jan,Apr,Jul,Oct"
41,42,42,a,c,290,7,2007,1,40.0,2011.0,"Jan,Apr,Jul,Oct"
42,43,43,d,a,4880,6,2008,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
43,44,44,a,a,540,6,2011,0,,,
44,45,45,d,a,9710,2,2014,0,,,
45,46,46,c,a,1200,9,2005,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
46,47,47,a,c,270,4,2013,1,14.0,2013.0,"Jan,Apr,Jul,Oct"
47,48,48,a,a,1060,5,2012,0,,,
48,49,49,d,c,18010,9,2007,0,,,
49,50,50,d,a,6260,11,2009,0,,,
50,51,51,a,c,10570,7,2013,1,9.0,2011.0,"Jan,Apr,Jul,Oct"
51,52,52,d,c,450,4,2014,1,39.0,2010.0,"Jan,Apr,Jul,Oct"
52,53,53,a,c,30360,9,2013,0,,,
53,54,54,d,c,7170,8,2014,1,5.0,2013.0,"Feb,May,Aug,Nov"
54,55,55,a,a,720,11,2004,0,,,
55,56,56,d,c,6620,3,2012,1,10.0,2014.0,"Mar,Jun,Sept,Dec"
56,57,57,d,c,420,6,2014,0,,,
57,58,58,a,c,7340,5,2008,1,27.0,2012.0,"Jan,Apr,Jul,Oct"
58,59,59,a,c,2840,6,2007,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
59,60,60,d,c,5540,10,2009,0,,,
60,61,61,a,c,350,12,2007,1,1.0,2012.0,"Jan,Apr,Jul,Oct"
61,62,62,a,a,2050,7,2008,0,,,
62,63,63,c,c,3700,6,2010,1,18.0,2010.0,"Feb,May,Aug,Nov"
63,64,64,d,c,22560,7,2011,1,14.0,2013.0,"Jan,Apr,Jul,Oct"
64,65,65,a,c,13840,5,2010,1,1.0,2012.0,"Jan,Apr,Jul,Oct"
65,66,66,d,a,7660,6,2008,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
66,67,67,a,c,410,2,2006,0,,,
67,68,68,a,c,250,7,2008,1,35.0,2012.0,"Mar,Jun,Sept,Dec"
68,69,69,c,c,1130,7,2007,1,40.0,2011.0,"Jan,Apr,Jul,Oct"
69,70,70,c,c,4840,7,2009,0,,,
70,71,71,a,a,17500,8,2008,1,37.0,2009.0,"Mar,Jun,Sept,Dec"
71,72,72,a,a,2200,12,2009,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
72,73,73,a,c,1650,9,2008,0,,,
73,74,74,a,a,330,7,2008,0,,,
74,75,75,d,c,22440,12,2013,0,,,
75,76,76,d,c,19960,3,2006,0,,,
76,77,77,d,c,1090,8,2009,1,10.0,2014.0,"Jan,Apr,Jul,Oct"
77,78,78,a,a,3510,11,2006,1,5.0,2013.0,"Feb,May,Aug,Nov"
78,79,79,a,a,3320,7,2008,0,,,
79,80,80,d,a,7910,7,2009,0,,,
80,81,81,a,a,2370,3,2011,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
81,82,82,a,a,22390,4,2008,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
82,83,83,a,a,2710,7,2008,0,,,
83,84,84,a,c,11810,8,2014,0,,,
84,85,85,b,a,1870,10,2011,0,,,
85,86,86,a,a,480,2,2005,1,31.0,2013.0,"Jan,Apr,Jul,Oct"
86,87,87,a,a,560,12,2010,0,,,
87,88,88,a,a,10690,10,2005,0,,,
88,89,89,a,a,2380,7,2004,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
89,90,90,a,a,330,11,2007,0,,,
90,91,91,c,a,2410,7,2008,1,35.0,2011.0,"Jan,Apr,Jul,Oct"
91,92,92,c,a,240,6,2007,1,45.0,2009.0,"Feb,May,Aug,Nov"
92,93,93,a,a,16690,7,2010,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
93,94,94,d,c,14620,7,2009,0,,,
94,95,95,a,a,1890,10,2014,0,,,
95,96,96,a,a,8780,2,2005,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
96,97,97,d,c,8980,7,2009,0,,,
97,98,98,d,c,15140,12,2006,1,1.0,2012.0,"Jan,Apr,Jul,Oct"
98,99,99,c,c,2030,11,2003,1,22.0,2012.0,"Mar,Jun,Sept,Dec"
99,100,100,d,a,17930,7,2010,0,,,
100,101,101,d,c,2440,7,2009,1,22.0,2012.0,"Mar,Jun,Sept,Dec"
101,102,102,a,a,150,12,2007,1,10.0,2014.0,"Mar,Jun,Sept,Dec"
102,103,103,d,c,5210,5,2015,0,,,
103,104,104,a,a,390,6,2009,0,,,
104,105,105,a,c,6190,8,2009,1,23.0,2013.0,"Mar,Jun,Sept,Dec"
105,106,106,a,a,1390,8,2013,0,,,
106,107,107,a,a,1930,9,2009,0,,,
107,108,108,d,c,2190,9,2003,0,,,
108,109,109,a,c,3300,11,2010,0,,,
109,110,110,a,c,46590,4,2013,0,,,
110,111,111,d,c,7890,6,2008,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
111,112,112,a,a,1630,9,2009,0,,,
112,113,113,d,c,20930,11,1999,0,,,
113,114,114,c,a,4510,6,2007,1,48.0,2011.0,"Mar,Jun,Sept,Dec"
114,115,115,d,c,5740,4,2007,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
115,116,116,a,a,680,4,2013,0,,,
116,117,117,a,a,3450,9,2011,0,,,
117,118,118,d,c,3580,9,2012,0,,,
118,119,119,a,c,2100,2,2010,0,,,
119,120,120,d,a,2290,12,2014,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
120,121,121,a,a,3570,11,2009,1,36.0,2013.0,"Mar,Jun,Sept,Dec"
121,122,122,a,c,58260,4,2013,0,,,
